x, y, z
5.235508217358217919e+00, 1.003380120370881379e+01, 6.317725440733710229e-01
3.917242471334920761e+00, 9.856964851902024094e+00, 1.430003880523802451e+00
6.013009419959306712e+00, 1.046791400823710561e+01, 1.803911717612778909e-01
4.803679435362024464e+00, 1.161004534885601558e+01, -1.393098697752879422e+00
5.017441423936726430e+00, 8.034256067438606763e+00, 9.201452119138225916e-01
6.550633713787268775e+00, 9.815426387650155959e+00, 1.956664727826702005e-02
4.218649164842107169e+00, 9.289972062842890566e+00, 3.549447629301773488e-01
6.093988270089889525e+00, 1.252399658788156955e+01, -1.666815293968584522e+00
2.787621080082295144e+00, 8.740648423678077705e+00, -1.003746150657679692e+00
5.806686538187269875e+00, 1.026974340486452775e+01, -1.290416184707539049e+00
4.817902255421763869e+00, 9.986961402119579390e+00, -1.597034971008011617e+00
5.835601161196696474e+00, 9.792588242787585884e+00, -6.098614291307725699e-01
5.385082697152952846e+00, 1.138488328474416988e+01, -6.021376936991369444e-01
4.419291363609395340e+00, 9.631039330789830544e+00, -2.020964486511282743e-01
5.436668822721117067e+00, 9.773116893053641618e+00, 1.095633758852363332e-01
4.888055510417063765e+00, 9.517339043879726290e+00, -5.429591030889554526e-01
5.609519853580199111e+00, 1.099746409674890479e+01, 2.455883576693855264e-01
6.131579107588800426e+00, 9.595527956758161281e+00, 2.181277864658998311e+00
5.683386790671529631e+00, 1.018250315135586170e+01, -9.022524734300942095e-02
5.219431713066986056e+00, 9.435738862526596549e+00, -1.672140813475498922e+00
6.587469190711233047e+00, 9.340136740748036459e+00, 5.481434218374965361e-01
3.911379787102393202e+00, 8.338920789776492981e+00, -5.371852681789005546e-01
6.871421071741592002e+00, 1.119210235229557959e+01, 5.375110518110625124e-01
4.485629605519698693e+00, 1.114579769755446037e+01, -1.032426241010172240e-02
5.928425230963798143e+00, 1.054856081511063159e+01, 3.256594371419945233e-01
4.542958196013460181e+00, 1.182684766654188380e+01, 3.096833050564343770e-01
5.205371966331041378e+00, 1.126501414616411978e+01, -2.585363094702088027e+00
5.122667941927343094e+00, 8.879879854323046828e+00, -1.001412955073669897e+00
7.356317068688812633e+00, 1.130334459247157497e+01, 2.022245648504833737e-01
5.911488691894819070e+00, 1.011767962814285937e+01, 1.128070259570553402e+00
4.439031535096052750e+00, 8.941782844930200369e+00, 3.564092632749036871e-01
5.393096618029074030e+00, 1.087225496878348174e+01, -1.152893781666061823e+00
6.723912562466304976e+00, 1.008306271345204941e+01, -3.384206808974685177e-01
2.577992039579140471e+00, 1.018052390866500723e+01, 9.416760567818917294e-02
5.530056436937007547e+00, 1.018115414435234456e+01, 8.694954727901384184e-02
2.961978465591571297e+00, 1.089909117205620959e+01, -6.137837677113308632e-02
3.605532313841086633e+00, 9.884199006044886104e+00, -1.827335110998288936e+00
6.900150908328352983e+00, 9.002045519319761269e+00, 1.816060912078625855e-01
6.492200582365187600e+00, 9.579490062414032892e+00, 1.476836239371364767e+00
4.414625705203593320e+00, 1.017820398773551638e+01, -8.683746786522775762e-01
5.831316289844813205e+00, 9.147096304776267672e+00, -6.654310900476295698e-01
5.210104480777445701e+00, 1.065656994148859127e+01, -7.264627953536514915e-02
4.389122327858128614e+00, 1.051164849073709107e+01, -4.494981768163631153e-01
5.856847060965804097e+00, 9.026181483812148798e+00, -1.255334523778729727e-01
5.801806590316157752e+00, 8.342815461134140520e+00, -2.264691830178315879e+00
4.790800540641215299e+00, 9.923306670753152758e+00, 8.400048909001400776e-01
5.845487776504194599e+00, 1.008305900593099125e+01, 3.034918810302995040e-01
5.819672287333339966e+00, 1.057831547867633581e+01, -1.181430842049281837e+00
5.420144248384366925e+00, 8.795621611055720379e+00, -6.740649997010159655e-01
4.685359613908576470e+00, 9.168943058515225175e+00, 7.301141628728868849e-01
5.459759258480805677e+00, 8.733200003938046407e+00, 7.043856274516892002e-01
4.966640405518242041e+00, 1.023814123921253305e+01, 1.431929858170692071e+00
6.424184744921025647e+00, 9.851366675383154359e+00, -1.492521078756441799e+00
5.680455612865752180e+00, 1.119623670423205120e+01, -6.842936285231269178e-01
4.771092915884359797e+00, 1.038449621248968491e+01, -8.040650406674818562e-01
